epoch,step,global_step,loss,positive_cosine,negative_cosine,learning_rate
1,1,1,0.15178707242012024,1.0,0.5935443043708801,2.996158770806658e-05
1,2,2,0.0015805428847670555,1.0,0.3736823797225952,2.9923175416133165e-05
1,3,3,0.0010677723912522197,1.0,0.31214022636413574,2.9884763124199744e-05
1,4,4,0.00046878107241354883,1.0,0.3312014639377594,2.9846350832266326e-05
1,5,5,0.00037986953975632787,1.0,0.30593714118003845,2.9807938540332905e-05
1,6,6,0.0002635615528561175,1.0,0.3032805919647217,2.976952624839949e-05
1,7,7,0.0002809884026646614,1.0,0.28992408514022827,2.973111395646607e-05
1,8,8,0.0002869191812351346,1.0,0.294446736574173,2.9692701664532652e-05
1,9,9,0.0001403537899022922,1.0,0.27752798795700073,2.965428937259923e-05
1,10,10,0.00017745807417668402,1.0,0.2658871114253998,2.9615877080665817e-05
1,11,11,0.000153598070028238,0.9999999403953552,0.26926419138908386,2.9577464788732395e-05
1,12,12,0.0005378347705118358,1.0,0.2512437701225281,2.9539052496798978e-05
1,13,13,6.235488399397582e-05,0.9999999403953552,0.23357883095741272,2.9500640204865557e-05
1,14,14,6.866954208817333e-05,1.0,0.2360101193189621,2.946222791293214e-05
1,15,15,7.321727025555447e-05,1.0,0.21888402104377747,2.942381562099872e-05
1,16,16,7.202760752988979e-05,1.0,0.2225874811410904,2.93854033290653e-05
1,17,17,4.407042433740571e-05,1.0,0.2105473428964615,2.9346991037131882e-05
1,18,18,5.550921196117997e-05,1.0,0.20010250806808472,2.9308578745198464e-05
1,19,19,4.872409044764936e-05,1.0,0.19864076375961304,2.9270166453265047e-05
1,20,20,2.9818051189067774e-05,1.0,0.18083076179027557,2.9231754161331626e-05
1,21,21,2.403689177299384e-05,1.0,0.18130284547805786,2.9193341869398208e-05
1,22,22,1.971761776076164e-05,1.0,0.17294356226921082,2.915492957746479e-05
1,23,23,4.2755298636620864e-05,1.0,0.16265681385993958,2.9116517285531372e-05
1,24,24,1.8579623429104686e-05,1.0,0.17438076436519623,2.907810499359795e-05
1,25,25,4.552039899863303e-05,1.0,0.17133651673793793,2.9039692701664533e-05
1,26,26,1.5675786926294677e-05,1.0,0.15027421712875366,2.9001280409731116e-05
1,27,27,2.7226255042478442e-05,1.0,0.14684940874576569,2.8962868117797695e-05
1,28,28,1.006939601211343e-05,1.0,0.1532544195652008,2.8924455825864277e-05
1,29,29,2.1332067262846977e-05,1.0,0.1406131088733673,2.8886043533930856e-05
1,30,30,1.5353585695265792e-05,1.0,0.15030866861343384,2.884763124199744e-05
1,31,31,1.2820467418350745e-05,0.9999999403953552,0.14748165011405945,2.880921895006402e-05
1,32,32,1.129677093558712e-05,1.0,0.13917945325374603,2.8770806658130602e-05
1,33,33,1.777857687557116e-05,1.0,0.13849471509456635,2.873239436619718e-05
1,34,34,0.00015508448996115476,1.0,0.13594260811805725,2.8693982074263767e-05
1,35,35,2.1267644115141593e-05,1.0,0.13296009600162506,2.8655569782330346e-05
1,36,36,1.0926157301582862e-05,1.0,0.13288374245166779,2.8617157490396928e-05
1,37,37,2.425674392725341e-05,1.0,0.13569329679012299,2.857874519846351e-05
1,38,38,1.5105485545063857e-05,1.0,0.1227196604013443,2.8540332906530093e-05
1,39,39,7.424455361615401e-06,1.0,0.12569528818130493,2.850192061459667e-05
1,40,40,8.990909918793477e-06,1.0,0.12318485230207443,2.846350832266325e-05
1,41,41,8.063335371844005e-06,1.0,0.11915141344070435,2.8425096030729836e-05
1,42,42,1.9708682884811424e-05,1.0,0.11462825536727905,2.8386683738796415e-05
1,43,43,9.856888027570676e-06,1.0,0.1109204888343811,2.8348271446862997e-05
1,44,44,1.0544292308622971e-05,1.0,0.11955056339502335,2.8309859154929576e-05
1,45,45,1.5539453670498915e-05,1.0,0.11117423325777054,2.827144686299616e-05
1,46,46,8.379947757930495e-06,1.0,0.11492748558521271,2.823303457106274e-05
1,47,47,7.422573162330082e-06,1.0,0.11128029227256775,2.8194622279129323e-05
1,48,48,1.1300484402454458e-05,1.0,0.12165944278240204,2.81562099871959e-05
1,49,49,5.01235990668647e-06,1.0,0.10951631516218185,2.8117797695262487e-05
1,50,50,2.026173569902312e-05,1.0,0.12115760892629623,2.8079385403329066e-05
1,51,51,8.731975867704023e-06,1.0,0.11274845898151398,2.804097311139565e-05
1,52,52,6.500587915070355e-06,1.0,0.12142529338598251,2.8002560819462227e-05
1,53,53,7.891953828220721e-06,0.9999999403953552,0.11715841293334961,2.796414852752881e-05
1,54,54,0.00010591348836896941,1.0,0.10828078538179398,2.7925736235595392e-05
1,55,55,6.258449502638541e-06,0.9999999403953552,0.1130172461271286,2.788732394366197e-05
1,56,56,2.3903650799184106e-05,1.0,0.10622015595436096,2.7848911651728553e-05
1,57,57,1.8608006939757615e-05,0.9999999403953552,0.10638850927352905,2.7810499359795135e-05
1,58,58,1.1356285540387034e-05,1.0,0.11236599087715149,2.7772087067861717e-05
